cli_document,churn,prob_churn,dias_desde_ultima,n_pedidos,ticket_total,tipo_cliente,canal,uf
CLI_00D5FC49,1,0.9999987536031755,533,1,136.35,NOVO,Marketplace,SP
CLI_00D74F9E,1,0.9999987536031755,420,1,278.0,NOVO,Marketplace,SP
CLI_00DA3E88,1,0.9999987536031755,296,1,179.82,NOVO,Fulfillment,SP
CLI_00DADA60,1,0.9999987536031755,498,1,139.86,NOVO,Marketplace,SP
CLI_00DC035D,1,0.9999987536031755,309,1,118.7,NOVO,Marketplace,CE
CLI_00DEC2BC,1,0.9999987536031755,257,1,351.66,NOVO,Marketplace,DF
CLI_00DEFBFB,1,0.9999987536031755,319,1,259.0,NOVO,Marketplace,RJ
CLI_00E1E012,1,0.9999987536031755,267,2,349.04,ANTIGO,Marketplace,SP
CLI_00E50211,0,4.568323345512033e-06,36,6,1488.41,ANTIGO,Marketplace,MG
CLI_00E55849,1,0.9999987536031755,343,1,93.94,NOVO,Marketplace,MG
CLI_00EA7754,0,4.568323345512033e-06,32,6,1792.44,ANTIGO,Marketplace,RJ
CLI_00ED9604,1,0.9999987536031755,322,2,407.82,ANTIGO,Marketplace,SP
CLI_00EE8E51,1,0.9999987536031755,403,1,733.99,NOVO,Marketplace,SP
CLI_00F22884,1,0.9999987536031755,526,1,118.9,ANTIGO,Fulfillment,SP
CLI_00F26315,1,0.9999987536031755,498,1,139.86,NOVO,Marketplace,MT
CLI_00F6B106,1,0.9999987536031755,498,1,69.93,NOVO,Marketplace,MG
CLI_00FCA3CE,0,4.568323345512033e-06,45,3,891.0,ANTIGO,Marketplace,SC
CLI_00FCBD33,1,0.9999987536031755,544,1,119.18,NOVO,Marketplace,RJ
CLI_00FFD2A6,0,4.568323345512033e-06,107,5,1224.17,ANTIGO,Marketplace,SP
CLI_0102228F,1,0.9999987536031755,504,1,130.05,NOVO,Fulfillment,MG
CLI_0102B8BF,1,0.9999987536031755,527,1,223.12,NOVO,Marketplace,GO
CLI_01038818,1,0.9999987536031755,430,1,119.79,ANTIGO,Marketplace,SP
CLI_01075419,1,0.9999987536031755,470,1,133.23,NOVO,Marketplace,MG
CLI_010958C1,1,0.9999987536031755,464,1,135.06,ANTIGO,Marketplace,SP
CLI_0109F43F,1,0.9999987536031755,376,1,89.1,NOVO,Marketplace,RJ
CLI_010B11B1,1,0.9999987536031755,461,1,210.39,ANTIGO,Marketplace,PR
CLI_010CF38F,0,4.568323345512033e-06,81,2,476.09000000000003,ANTIGO,Marketplace,SP
CLI_010D5F74,1,0.9999987536031755,405,1,66.43,NOVO,Marketplace,SP
CLI_0111BCFE,1,0.9999987536031755,533,1,301.66,NOVO,Marketplace,RJ
CLI_0111EA87,1,0.9999987536031755,292,1,128.11,NOVO,Marketplace,SP
CLI_0115F6F6,1,0.9999987536031755,536,1,416.11,NOVO,Marketplace,RJ
CLI_0116E15E,1,0.9999987536031755,526,1,107.74,NOVO,Marketplace,SP
CLI_0117BDE7,1,0.9999987536031755,291,1,455.92,NOVO,Marketplace,PR
CLI_011A0ECA,1,0.9999987536031755,293,1,119.88,NOVO,Marketplace,RJ
CLI_011C54AD,1,0.9999987536031755,416,1,197.49,ANTIGO,Marketplace,RJ
CLI_011CA9AE,1,0.9999987536031755,255,1,129.82,NOVO,Marketplace,DF
CLI_011D07EC,0,4.568323345512033e-06,107,4,430.74,ANTIGO,Marketplace,SP
CLI_011DB7D3,1,0.9999987536031755,337,1,131.75,NOVO,Marketplace,DF
CLI_011E7CB7,0,4.568323345512033e-06,42,7,1148.4,ANTIGO,Marketplace,DF
CLI_011F05B4,1,0.9999987536031755,308,1,217.1,NOVO,Marketplace,RS
CLI_0122086B,1,0.9999987536031755,489,1,301.8,ANTIGO,Marketplace,RJ
CLI_0122BD8D,1,0.9999987536031755,421,1,267.72,ANTIGO,Marketplace,MT
CLI_01237EE4,1,0.9999987536031755,448,1,154.48,ANTIGO,Marketplace,SC
CLI_01282001,1,0.9999987536031755,502,1,366.29,NOVO,Marketplace,BA
CLI_012AAD82,1,0.9999987536031755,404,1,69.93,ANTIGO,Marketplace,RN
CLI_012BA3C6,1,0.9999987536031755,532,1,394.7,NOVO,Marketplace,MG
CLI_012C2BA6,1,0.9999987536031755,452,1,129.77,NOVO,Marketplace,PR
CLI_012C734D,1,0.9999987536031755,350,1,148.6,NOVO,Marketplace,SP
CLI_012C92DC,0,4.568323345512033e-06,72,3,425.24,ANTIGO,Marketplace,MG
CLI_012D30C7,0,4.568323345512033e-06,47,2,648.78,ANTIGO,Marketplace,MG
CLI_012F9F5D,1,0.9999987536031755,544,1,179.25,NOVO,Fulfillment,SP
CLI_01307F3D,1,0.9999987536031755,473,1,194.12,NOVO,Marketplace,RO
CLI_0133F047,1,0.9999987536031755,321,1,267.74,NOVO,Marketplace,SP
CLI_0136BD05,1,0.9999987536031755,279,1,171.47,NOVO,Fulfillment,DF
CLI_013E3CCE,0,4.568323345512033e-06,42,4,1361.49,ANTIGO,Marketplace,RJ
CLI_01407C90,0,4.568323345512033e-06,24,4,601.27,ANTIGO,Marketplace,MG
CLI_0149854D,1,0.9999987536031755,405,2,240.14,NOVO,Marketplace,SP
CLI_014C318D,1,0.9999987536031755,379,1,213.64,NOVO,Marketplace,PR
CLI_014C323A,1,0.9999987536031755,253,1,129.7,NOVO,Marketplace,RJ
CLI_014FF91C,1,0.9999987536031755,371,1,224.73,NOVO,Marketplace,SP
CLI_015013A8,1,0.9999987536031755,404,1,218.52,NOVO,Marketplace,BA
CLI_01521F48,1,0.9999987536031755,374,1,173.61,NOVO,Marketplace,BA
CLI_015293E5,1,0.9999987536031755,410,2,350.66,ANTIGO,Marketplace,PR
CLI_01547C4C,1,0.9999987536031755,427,1,191.36,NOVO,Marketplace,SC
CLI_01562DDA,1,0.9999987536031755,406,1,129.46,ANTIGO,Marketplace,RJ
CLI_0157C2F4,1,0.9999987536031755,337,1,134.66,NOVO,Marketplace,SC
CLI_0158AD62,1,0.9999987536031755,469,1,119.18,NOVO,Marketplace,PA
CLI_01596529,0,4.568323345512033e-06,50,7,3073.8,ANTIGO,Marketplace,RJ
CLI_015C31A3,1,0.9999987536031755,370,1,212.94,NOVO,Marketplace,GO
CLI_015FD2AE,1,0.9999987536031755,320,2,444.78000000000003,ANTIGO,Marketplace,RJ
CLI_01603B54,1,0.9999987536031755,502,1,152.86,NOVO,Marketplace,SP
CLI_0164D1D0,1,0.9999987536031755,519,1,151.94,ANTIGO,Marketplace,SP
CLI_01692C3A,0,4.568323345512033e-06,54,3,556.16,ANTIGO,Marketplace,MG
CLI_016A09BD,1,0.9999987536031755,465,1,312.09,NOVO,Marketplace,PR
CLI_016B01D8,1,0.9999987536031755,419,1,120.96,ANTIGO,Marketplace,RJ
CLI_016D4529,0,4.568323345512033e-06,139,2,614.01,ANTIGO,Marketplace,SP
CLI_01703C82,0,4.568323345512033e-06,130,2,346.38,ANTIGO,Marketplace,PE
CLI_017118A9,0,4.568323345512033e-06,36,2,402.09000000000003,ANTIGO,Marketplace,ES
CLI_0171CD8D,1,0.9999987536031755,421,1,179.9,NOVO,Marketplace,SP
CLI_017D12CA,1,0.9999987536031755,405,2,691.9300000000001,ANTIGO,Marketplace,ES
CLI_017D3674,1,0.9999987536031755,291,1,128.62,NOVO,Marketplace,SP
CLI_017F0E43,1,0.9999987536031755,528,1,188.1,NOVO,Marketplace,RJ
CLI_0181236F,0,4.568323345512033e-06,130,2,331.2,ANTIGO,Marketplace,MT
CLI_0184A05B,1,0.9999987536031755,502,1,271.49,ANTIGO,Marketplace,SP
CLI_0184B947,1,0.9999987536031755,412,1,94.07,NOVO,Marketplace,PR
CLI_01860DC3,1,0.9999987536031755,463,2,554.69,ANTIGO,Marketplace,RJ
CLI_0188C2B9,0,4.568323345512033e-06,55,2,265.34000000000003,ANTIGO,Marketplace,MG
CLI_0188EFFA,1,0.9999987536031755,502,1,162.23,NOVO,Marketplace,SP
CLI_01891544,1,0.9999987536031755,316,2,318.61,ANTIGO,Marketplace,SP
CLI_018B21CF,1,0.9999987536031755,547,1,64.63,NOVO,Marketplace,RJ
CLI_018B620C,0,4.568323345512033e-06,193,4,757.72,ANTIGO,Marketplace,MG
CLI_018BAEB2,1,0.9999987536031755,518,1,112.6,NOVO,Marketplace,RJ
CLI_018C9498,1,0.9999987536031755,423,1,682.35,NOVO,Marketplace,DF
CLI_018EA875,0,4.568323345512033e-06,100,3,476.11,ANTIGO,Marketplace,PR
CLI_018F14F4,0,4.568323345512033e-06,80,2,250.01,ANTIGO,Marketplace,SP
CLI_018F1E3C,1,0.9999987536031755,445,1,158.6,NOVO,Marketplace,RJ
CLI_01900469,1,0.9999987536031755,364,1,149.9,NOVO,Marketplace,SP
CLI_0192CCAE,1,0.9999987536031755,465,1,113.95,ANTIGO,Marketplace,MG
CLI_0197359F,1,0.9999987536031755,281,2,424.54,ANTIGO,Marketplace,PA
CLI_019B95B9,1,0.9999987536031755,498,1,69.93,NOVO,Marketplace,RS
CLI_019CA9AF,1,0.9999987536031755,281,2,148.04000000000002,ANTIGO,Marketplace,MG
CLI_019CF75F,1,0.9999987536031755,312,1,150.01,NOVO,Marketplace,SP
CLI_01A00D8C,1,0.9999987536031755,406,1,114.08,ANTIGO,Marketplace,RS
CLI_01A079EC,1,0.9999987536031755,369,2,541.5799999999999,ANTIGO,Marketplace,DF
CLI_01A33354,1,0.9999987536031755,400,2,583.39,ANTIGO,Marketplace,MT
CLI_01A4C394,1,0.9999987536031755,329,2,538.0,ANTIGO,Marketplace,SP
CLI_01A64045,1,0.9999987536031755,403,1,135.82,NOVO,Marketplace,SP
CLI_01A87AD4,1,0.9999987536031755,250,1,88.93,NOVO,Marketplace,RJ
CLI_01AD9D98,1,0.9999987536031755,442,1,108.91,ANTIGO,Marketplace,SP
CLI_01AF69F8,1,0.9999987536031755,252,1,252.62,NOVO,Marketplace,RJ
CLI_01AF7714,1,0.9999987536031755,221,3,821.49,ANTIGO,Marketplace,SP
CLI_01B23B06,1,0.9999987536031755,306,1,593.76,NOVO,Marketplace,SP
CLI_01B43630,1,0.9999987536031755,378,1,81.59,ANTIGO,Fulfillment,RJ
CLI_01B49050,1,0.9999987536031755,423,1,143.61,NOVO,Marketplace,MG
CLI_01B8298C,0,4.568323345512033e-06,31,3,2109.0299999999997,ANTIGO,Marketplace,DF
CLI_01BC52AD,1,0.9999987536031755,420,1,146.86,NOVO,Marketplace,MG
CLI_01BC74FF,1,0.9999987536031755,447,1,73.64,NOVO,Marketplace,MG
CLI_01BE8CC7,1,0.9999987536031755,269,1,128.62,NOVO,Marketplace,SP
CLI_01C07CB7,1,0.9999987536031755,532,1,238.36,NOVO,Marketplace,RJ
CLI_01CCC6C7,0,4.568323345512033e-06,216,2,251.93,ANTIGO,Marketplace,SP
CLI_01CF7D67,1,0.9999987536031755,220,1,162.09,NOVO,Marketplace,PR
CLI_01CFC8F0,0,4.568323345512033e-06,188,2,246.96,ANTIGO,Marketplace,SC
CLI_01D047C5,1,0.9999987536031755,459,1,139.0,ANTIGO,Marketplace,PA
CLI_01D91263,1,0.9999987536031755,231,3,657.4000000000001,ANTIGO,Marketplace,MG
CLI_01D94655,1,0.9999987536031755,507,1,267.71,ANTIGO,Fulfillment,RJ
CLI_01DA9F39,1,0.9999987536031755,323,1,127.88,NOVO,Marketplace,SP
CLI_01DBDC4D,1,0.9999987536031755,304,1,98.61,NOVO,Marketplace,MG
CLI_01DCD246,1,0.9999987536031755,512,1,138.49,NOVO,Marketplace,ES
CLI_01DD0643,1,0.9999987536031755,424,1,270.12,NOVO,Marketplace,SP
CLI_01DDE395,1,0.9999987536031755,498,1,218.86,ANTIGO,Marketplace,SP
CLI_01DFEF1E,1,0.9999987536031755,316,1,188.95,NOVO,Marketplace,SP
CLI_01E405D0,1,0.9999987536031755,221,1,179.9,NOVO,Marketplace,MG
CLI_01E4AB0F,0,4.568323345512033e-06,194,3,508.69,ANTIGO,Marketplace,SP
CLI_01EB0769,1,0.9999987536031755,436,1,151.89,NOVO,Marketplace,DF
CLI_01ED0010,1,0.9999987536031755,401,2,540.48,ANTIGO,Marketplace,RN
CLI_01EFF4F6,1,0.9999987536031755,397,3,439.69,ANTIGO,Marketplace,SP
CLI_01F09ADF,1,0.9999987536031755,291,2,1413.8,ANTIGO,Marketplace,MG
CLI_01F1D99B,0,4.568323345512033e-06,116,7,2469.29,ANTIGO,Marketplace,RJ
CLI_01F24271,1,0.9999987536031755,329,1,118.61,ANTIGO,Marketplace,BA
CLI_01F2D133,1,0.9999987536031755,474,2,259.8,ANTIGO,Marketplace,SP
CLI_01F2E987,0,4.568323345512033e-06,129,2,159.53,ANTIGO,Marketplace,SP
CLI_01F558D4,1,0.9999987536031755,525,1,87.69,NOVO,Marketplace,RJ
CLI_01FA5650,1,0.9999987536031755,372,1,333.14,NOVO,Marketplace,CE
CLI_01FE2737,0,4.568323345512033e-06,45,2,341.62,ANTIGO,Marketplace,MG
CLI_01FEBAB8,0,4.568323345512033e-06,148,3,644.89,ANTIGO,Marketplace,PR
CLI_02013B19,1,0.9999987536031755,521,1,223.8,ANTIGO,Marketplace,SP
CLI_02016B35,1,0.9999987536031755,314,2,925.8599999999999,ANTIGO,Marketplace,RJ
CLI_0203283A,1,0.9999987536031755,234,1,388.05,NOVO,Marketplace,RJ
CLI_0205A258,0,4.568323345512033e-06,164,2,1037.69,ANTIGO,Marketplace,PR
CLI_020691EE,0,4.568323345512033e-06,33,2,402.14,ANTIGO,Marketplace,SP
CLI_0208E20E,1,0.9999987536031755,515,1,84.92,NOVO,Marketplace,PR
CLI_020A02B9,1,0.9999987536031755,332,1,88.93,NOVO,Marketplace,SP
CLI_020D2C69,1,0.9999987536031755,291,1,126.23,NOVO,Marketplace,GO
CLI_020DDDA9,1,0.9999987536031755,279,1,543.9,NOVO,Marketplace,RJ
CLI_020E916D,1,0.9999987536031755,418,2,527.6,NOVO,Marketplace,MG
CLI_0211D5CE,1,0.9999987536031755,498,1,69.93,ANTIGO,Marketplace,MG
CLI_0212D869,1,0.9999987536031755,500,1,108.6,NOVO,Marketplace,SP
CLI_0213F91D,0,4.568323345512033e-06,193,2,276.27,ANTIGO,Marketplace,RO
CLI_02143BEE,0,4.568323345512033e-06,34,3,553.49,ANTIGO,Marketplace,SP
CLI_02147CBE,0,4.568323345512033e-06,71,2,531.73,ANTIGO,Marketplace,MG
CLI_0216E127,1,0.9999987536031755,353,1,53.01,NOVO,Marketplace,SP
CLI_021A0440,1,0.9999987536031755,482,1,119.18,NOVO,Marketplace,RN
CLI_021CBE04,1,0.9999987536031755,363,1,52.7,NOVO,Marketplace,SP
CLI_021DA15B,1,0.9999987536031755,405,1,466.2,NOVO,Marketplace,RJ
CLI_02246F98,1,0.9999987536031755,323,2,288.5,ANTIGO,Marketplace,SP
CLI_02253EF3,0,4.568323345512033e-06,107,3,1055.54,ANTIGO,Marketplace,DF
CLI_022665EA,1,0.9999987536031755,416,1,115.11,NOVO,Marketplace,BA
CLI_0229989D,1,0.9999987536031755,401,1,202.55,NOVO,Marketplace,RS
CLI_022A55BA,1,0.9999987536031755,479,1,78.59,NOVO,Marketplace,SP
CLI_022A857E,1,0.9999987536031755,245,1,278.82,ANTIGO,Marketplace,SP
CLI_0231A7D3,1,0.9999987536031755,347,1,119.81,NOVO,Marketplace,SP
CLI_02325851,1,0.9999987536031755,524,1,221.61,ANTIGO,Marketplace,BA
CLI_02325EC8,1,0.9999987536031755,460,1,319.41,NOVO,Marketplace,RJ
CLI_023826FF,0,4.568323345512033e-06,32,3,539.34,ANTIGO,Marketplace,PR
CLI_0238658F,0,4.568323345512033e-06,35,4,1097.18,ANTIGO,Marketplace,RJ
CLI_023B2C0F,1,0.9999987536031755,512,1,136.43,NOVO,Marketplace,SP
CLI_023CB7B5,1,0.9999987536031755,404,1,75.44,NOVO,Marketplace,SP
CLI_023E0901,1,0.9999987536031755,314,1,220.17,NOVO,Marketplace,PR
CLI_023EBB06,1,0.9999987536031755,226,1,280.44,NOVO,Marketplace,SP
CLI_023EF6A4,1,0.9999987536031755,413,1,101.9,NOVO,Marketplace,GO
CLI_023FD712,1,0.9999987536031755,291,1,198.4,ANTIGO,Marketplace,RJ
CLI_0245C459,1,0.9999987536031755,534,1,295.92,NOVO,Marketplace,DF
CLI_024663C7,0,4.568323345512033e-06,10,4,368.62,ANTIGO,Marketplace,PR
CLI_0246CF88,0,4.568323345512033e-06,85,5,1192.34,ANTIGO,Marketplace,PR
CLI_0247BDBB,1,0.9999987536031755,306,1,148.91,NOVO,Marketplace,RJ
CLI_024C6873,0,4.568323345512033e-06,129,2,474.65000000000003,ANTIGO,Marketplace,SP
CLI_024D7166,0,4.568323345512033e-06,203,2,399.47,ANTIGO,Marketplace,RJ
CLI_02502CB6,1,0.9999987536031755,457,1,487.84,NOVO,Marketplace,RJ
CLI_025071EB,1,0.9999987536031755,345,2,343.73,ANTIGO,Marketplace,PR
CLI_0252B390,0,4.568323345512033e-06,66,2,487.62,ANTIGO,Marketplace,MG
CLI_0254A1F2,1,0.9999987536031755,250,1,139.55,ANTIGO,Marketplace,SP
CLI_025A7107,1,0.9999987536031755,470,1,78.38,NOVO,Marketplace,SC
CLI_025BF02B,1,0.9999987536031755,502,1,136.86,NOVO,Marketplace,SP
CLI_025C28F7,1,0.9999987536031755,384,2,354.36,ANTIGO,Marketplace,PE
CLI_025DA4FC,0,4.568323345512033e-06,58,2,396.67,ANTIGO,Marketplace,MG
CLI_025F68E2,1,0.9999987536031755,249,1,159.3,NOVO,Fulfillment,SP
CLI_02641DAA,1,0.9999987536031755,250,2,404.74,ANTIGO,Marketplace,PR
CLI_026432A7,1,0.9999987536031755,234,1,549.8,NOVO,Marketplace,RJ
CLI_02672B3C,1,0.9999987536031755,420,1,146.86,NOVO,Marketplace,SP
CLI_026972C4,1,0.9999987536031755,388,1,321.98,NOVO,Marketplace,SP
CLI_0269D0DB,1,0.9999987536031755,464,1,139.9,NOVO,Marketplace,SP
CLI_026EE182,1,0.9999987536031755,342,1,346.85,NOVO,Marketplace,SP
CLI_0274223B,1,0.9999987536031755,473,1,473.2,ANTIGO,Marketplace,RJ
CLI_0274CA99,1,0.9999987536031755,476,1,127.91,NOVO,Marketplace,RJ
CLI_02784E82,1,0.9999987536031755,422,1,160.54,NOVO,Marketplace,SP
CLI_02785FC8,1,0.9999987536031755,525,1,80.71,ANTIGO,Marketplace,RJ
CLI_0278AC8E,1,0.9999987536031755,343,2,1022.03,ANTIGO,Marketplace,RJ
CLI_02793EB5,1,0.9999987536031755,464,1,78.59,NOVO,Fulfillment,SP
CLI_027A45EE,1,0.9999987536031755,243,1,443.37,NOVO,Marketplace,MA
CLI_027AEB3C,1,0.9999987536031755,543,1,179.25,ANTIGO,Fulfillment,RJ
CLI_027C043F,1,0.9999987536031755,542,1,436.72,NOVO,Marketplace,SP
CLI_027EE054,1,0.9999987536031755,265,1,89.91,NOVO,Marketplace,SP
CLI_0280B5E4,1,0.9999987536031755,239,1,336.53,NOVO,Marketplace,PR
CLI_02841489,0,4.568323345512033e-06,208,3,817.11,ANTIGO,Marketplace,RS
CLI_0284FDD9,1,0.9999987536031755,230,1,159.9,NOVO,Marketplace,RJ
CLI_0288E954,1,0.9999987536031755,314,1,89.37,ANTIGO,Marketplace,SP
CLI_02891AB6,1,0.9999987536031755,517,1,229.8,NOVO,Marketplace,SP
CLI_028940A6,1,0.9999987536031755,403,1,165.41,NOVO,Marketplace,SC
CLI_02896410,0,4.568323345512033e-06,84,4,449.21000000000004,ANTIGO,Marketplace,SP
