cli_document,recencia,frequencia,monetario,R,F,M,rfm_score,rfm_total,segmento
CLI_0036BF43,525,1,279.2,1,4,4,144,9,Skin Bloom
CLI_0038D2DC,516,1,230.32,1,4,3,143,8,Skin Bloom
CLI_003AB431,15,1,449.8,5,4,5,545,14,Skin Glow
CLI_003ACB7E,30,2,468.06,5,5,5,555,15,Skin Glow
CLI_003BA604,183,1,203.86,3,4,3,343,10,Skin Glow
CLI_003C25FD,303,1,209.0,3,4,3,343,10,Skin Glow
CLI_003C3C7E,281,2,236.45,3,5,3,353,11,Skin Glow
CLI_003D5863,431,1,147.21,1,4,2,142,7,Skin Bloom
CLI_003E0F5C,172,2,392.75,3,5,4,354,12,Skin Glow
CLI_003EEE01,74,1,69.93,4,4,1,441,9,Skin Glow
CLI_0040204E,42,2,832.5799999999999,5,5,5,555,15,Skin Glow
CLI_004134AE,200,1,94.93,3,4,1,341,8,Skin Glow
CLI_00426E21,332,2,253.46,2,5,4,254,11,Skin Bloom
CLI_0042F695,445,1,317.36,1,4,4,144,9,Skin Bloom
CLI_0043DE98,28,1,155.69,5,4,2,542,11,Skin Glow
CLI_0044C95E,498,1,139.86,1,4,2,142,7,Skin Bloom
CLI_0045D531,75,1,150.23,4,4,2,442,10,Skin Glow
CLI_00468765,96,5,2170.51,4,5,5,455,14,Skin Glow
CLI_004785BC,92,1,231.04,4,4,3,443,11,Skin Glow
CLI_00493C2E,51,2,455.90999999999997,5,5,5,555,15,Skin Glow
CLI_00506229,529,1,169.84,1,4,3,143,8,Skin Bloom
CLI_00516BFE,402,1,489.53,2,4,5,245,11,Skin Bloom
CLI_0053B83D,69,7,3876.36,4,5,5,455,14,Skin Glow
CLI_0055819D,397,1,170.88,2,4,3,243,9,Skin Bloom
CLI_0056E6BA,130,1,209.79,4,4,3,443,11,Skin Glow
CLI_005838E7,219,1,153.95,3,4,2,342,9,Skin Glow
CLI_0058447D,349,1,439.29,2,4,5,245,11,Skin Bloom
CLI_005A8183,207,1,338.9,3,4,4,344,11,Skin Glow
CLI_005D0491,241,1,283.92,3,4,4,344,11,Skin Glow
CLI_005D12D9,111,1,269.0,4,4,4,444,12,Skin Glow
CLI_006096D3,401,1,119.93,2,4,1,241,7,Skin Bloom
CLI_00635EFD,115,1,279.0,4,4,4,444,12,Skin Glow
CLI_0063DE74,10,6,848.03,5,5,5,555,15,Skin Glow
CLI_0064F2D2,62,2,346.99,4,5,4,454,13,Skin Glow
CLI_00652970,507,1,99.81,1,4,1,141,6,Skin Bloom
CLI_0066AFEA,223,1,172.82,3,4,3,343,10,Skin Glow
CLI_00671316,251,1,170.27,3,4,3,343,10,Skin Glow
CLI_006B05B7,299,1,273.06,3,4,4,344,11,Skin Glow
CLI_006BB133,47,3,442.52,5,5,5,555,15,Skin Glow
CLI_006C2B82,53,1,81.67,4,4,1,441,9,Skin Glow
CLI_006E38A8,86,1,66.82,4,4,1,441,9,Skin Glow
CLI_007117B0,15,7,1259.75,5,5,5,555,15,Skin Glow
CLI_00714428,81,2,383.76,4,5,4,454,13,Skin Glow
CLI_00741E51,34,3,889.27,5,5,5,555,15,Skin Glow
CLI_0075EBBD,239,1,188.37,3,4,3,343,10,Skin Glow
CLI_0076FA01,6,1,133.86,5,4,2,542,11,Skin Glow
CLI_00772147,484,1,99.1,1,4,1,141,6,Skin Bloom
CLI_00776693,71,2,399.04999999999995,4,5,4,454,13,Skin Glow
CLI_007F9CDD,420,1,146.86,2,4,2,242,8,Skin Bloom
CLI_00808EF2,426,1,152.02,2,4,2,242,8,Skin Bloom
CLI_00821C08,355,1,84.93,2,4,1,241,7,Skin Bloom
CLI_0083B9D7,180,2,618.21,3,5,5,355,13,Skin Glow
CLI_0085DA69,130,1,209.79,4,4,3,443,11,Skin Glow
CLI_008AB6CE,31,1,250.55,5,4,4,544,13,Skin Glow
CLI_008B698F,285,1,143.61,3,4,2,342,9,Skin Glow
CLI_008CC479,402,1,350.39,2,4,4,244,10,Skin Bloom
CLI_008E6B44,300,1,343.7,3,4,4,344,11,Skin Glow
CLI_008EDB9E,363,1,143.01,2,4,2,242,8,Skin Bloom
CLI_0090488A,473,2,843.15,1,5,5,155,11,Skin Bloom
CLI_0092CEB8,135,3,1566.79,4,5,5,455,14,Skin Glow
CLI_00940FC4,155,1,105.03,4,4,1,441,9,Skin Glow
CLI_009597D1,147,3,639.24,4,5,5,455,14,Skin Glow
CLI_00966FB5,161,2,470.65,4,5,5,455,14,Skin Glow
CLI_0098DA1C,208,2,361.14,3,5,4,354,12,Skin Glow
CLI_0099C74D,166,1,276.9,4,4,4,444,12,Skin Glow
CLI_009A2157,291,2,201.43,3,5,3,353,11,Skin Glow
CLI_009D0B7D,351,1,416.4,2,4,5,245,11,Skin Bloom
CLI_009DE13D,403,1,387.31,2,4,4,244,10,Skin Bloom
CLI_009EF67E,47,1,64.92,5,4,1,541,10,Skin Glow
CLI_00A0BAE3,391,1,302.11,2,4,4,244,10,Skin Bloom
CLI_00A2C035,498,1,149.76,1,4,2,142,7,Skin Bloom
CLI_00A3A472,448,1,148.01,1,4,2,142,7,Skin Bloom
CLI_00A41AAA,283,1,140.6,3,4,2,342,9,Skin Glow
CLI_00A66828,237,1,159.54,3,4,2,342,9,Skin Glow
CLI_00A6AF35,410,1,356.76,2,4,4,244,10,Skin Bloom
CLI_00A6CEE7,32,1,139.3,5,4,2,542,11,Skin Glow
CLI_00A7C1F2,382,1,170.54,2,4,3,243,9,Skin Bloom
CLI_00A82B31,259,1,72.86,3,4,1,341,8,Skin Glow
CLI_00AA53AA,2,1,110.44,5,4,1,541,10,Skin Glow
CLI_00AD6BB2,498,1,209.79,1,4,3,143,8,Skin Bloom
CLI_00AD7101,86,1,141.96,4,4,2,442,10,Skin Glow
CLI_00AE6343,526,1,71.52,1,4,1,141,6,Skin Bloom
CLI_00B0F4A9,515,1,241.57,1,4,3,143,8,Skin Bloom
CLI_00B1DE0A,39,1,86.91,5,4,1,541,10,Skin Glow
CLI_00B21192,95,1,189.16,4,4,3,443,11,Skin Glow
CLI_00B28365,270,1,227.48,3,4,3,343,10,Skin Glow
CLI_00B34A95,419,1,93.62,2,4,1,241,7,Skin Bloom
CLI_00B89830,518,1,84.6,1,4,1,141,6,Skin Bloom
CLI_00B9B56E,384,1,231.86,2,4,3,243,9,Skin Bloom
CLI_00BA2596,79,1,122.3,4,4,1,441,9,Skin Glow
CLI_00BD1193,546,1,201.53,1,4,3,143,8,Skin Bloom
CLI_00BE43EF,537,1,98.97,1,4,1,141,6,Skin Bloom
CLI_00BE6A14,49,1,239.8,5,4,3,543,12,Skin Glow
CLI_00BEDCD2,33,1,245.7,5,4,3,543,12,Skin Glow
CLI_00C26F89,111,1,186.75,4,4,3,443,11,Skin Glow
CLI_00C2DCD4,390,1,197.97,2,4,3,243,9,Skin Bloom
CLI_00C44434,370,1,242.91,2,4,3,243,9,Skin Bloom
CLI_00C4AD36,35,2,216.82999999999998,5,5,3,553,13,Skin Glow
CLI_00C6A8FD,409,1,217.8,2,4,3,243,9,Skin Bloom
CLI_00C6C83F,187,1,153.54,3,4,2,342,9,Skin Glow
CLI_00C78A19,32,1,192.64,5,4,3,543,12,Skin Glow
CLI_00C7EB79,111,1,160.21,4,4,2,442,10,Skin Glow
CLI_00CBA948,15,1,315.87,5,4,4,544,13,Skin Glow
CLI_00CCDF52,381,1,283.92,2,4,4,244,10,Skin Bloom
CLI_00CCE1B1,111,1,234.58,4,4,3,443,11,Skin Glow
CLI_00D12CD6,16,3,1382.73,5,5,5,555,15,Skin Glow
CLI_00D15CC3,455,1,507.45,1,4,5,145,10,Skin Bloom
CLI_00D2A0D9,34,1,86.78,5,4,1,541,10,Skin Glow
CLI_00D2EDA8,33,1,223.96,5,4,3,543,12,Skin Glow
CLI_00D4502E,272,1,252.89,3,4,4,344,11,Skin Glow
CLI_00D4E155,125,1,236.7,4,4,3,443,11,Skin Glow
CLI_00D5FC49,533,1,136.35,1,4,2,142,7,Skin Bloom
CLI_00D74F9E,420,1,278.0,2,4,4,244,10,Skin Bloom
CLI_00D7E59B,42,1,138.45,5,4,2,542,11,Skin Glow
CLI_00DA3E88,296,1,179.82,3,4,3,343,10,Skin Glow
CLI_00DADA60,498,1,139.86,1,4,2,142,7,Skin Bloom
CLI_00DC035D,309,1,118.7,2,4,1,241,7,Skin Bloom
CLI_00DEC2BC,257,1,351.66,3,4,4,344,11,Skin Glow
CLI_00DEFBFB,319,1,259.0,2,4,4,244,10,Skin Bloom
CLI_00E1E012,267,2,349.04,3,5,4,354,12,Skin Glow
CLI_00E50211,36,6,1488.41,5,5,5,555,15,Skin Glow
CLI_00E55849,343,1,93.94,2,4,1,241,7,Skin Bloom
CLI_00E85328,196,1,72.76,3,4,1,341,8,Skin Glow
CLI_00E8CF7C,56,1,274.9,4,4,4,444,12,Skin Glow
CLI_00EA7754,32,6,1792.44,5,5,5,555,15,Skin Glow
CLI_00EB18F9,171,1,99.92,3,4,1,341,8,Skin Glow
CLI_00ED9604,322,2,407.82,2,5,4,254,11,Skin Bloom
CLI_00EE8E51,403,1,733.99,2,4,5,245,11,Skin Bloom
CLI_00EEE69B,48,1,881.19,5,4,5,545,14,Skin Glow
CLI_00F22884,526,1,118.9,1,4,1,141,6,Skin Bloom
CLI_00F26315,498,1,139.86,1,4,2,142,7,Skin Bloom
CLI_00F6B106,498,1,69.93,1,4,1,141,6,Skin Bloom
CLI_00F9EC1B,48,1,84.55,5,4,1,541,10,Skin Glow
CLI_00FC485B,85,1,298.82,4,4,4,444,12,Skin Glow
CLI_00FCA3CE,45,3,891.0,5,5,5,555,15,Skin Glow
CLI_00FCBD33,544,1,119.18,1,4,1,141,6,Skin Bloom
CLI_00FFD2A6,107,5,1224.17,4,5,5,455,14,Skin Glow
CLI_01010B6E,32,1,86.72,5,4,1,541,10,Skin Glow
CLI_0102228F,504,1,130.05,1,4,2,142,7,Skin Bloom
CLI_0102B8BF,527,1,223.12,1,4,3,143,8,Skin Bloom
CLI_010319E4,202,1,1381.11,3,4,5,345,12,Skin Glow
CLI_01038818,430,1,119.79,1,4,1,141,6,Skin Bloom
CLI_0103E8E5,157,1,683.79,4,4,5,445,13,Skin Glow
CLI_0105BE25,189,1,109.58,3,4,1,341,8,Skin Glow
CLI_010680D4,31,1,174.02,5,4,3,543,12,Skin Glow
CLI_01075419,470,1,133.23,1,4,2,142,7,Skin Bloom
CLI_010958C1,464,1,135.06,1,4,2,142,7,Skin Bloom
CLI_0109F43F,376,1,89.1,2,4,1,241,7,Skin Bloom
CLI_010B11B1,461,1,210.39,1,4,3,143,8,Skin Bloom
CLI_010BDBDE,115,1,178.2,4,4,3,443,11,Skin Glow
CLI_010CF38F,81,2,476.09000000000003,4,5,5,455,14,Skin Glow
CLI_010D03CA,36,1,79.11,5,4,1,541,10,Skin Glow
CLI_010D22C6,19,2,295.6,5,5,4,554,14,Skin Glow
CLI_010D5F74,405,1,66.43,2,4,1,241,7,Skin Bloom
CLI_010ECDE1,92,1,183.82,4,4,3,443,11,Skin Glow
CLI_0111BCFE,533,1,301.66,1,4,4,144,9,Skin Bloom
CLI_0111EA87,292,1,128.11,3,4,2,342,9,Skin Glow
CLI_0115F6F6,536,1,416.11,1,4,5,145,10,Skin Bloom
CLI_0116E15E,526,1,107.74,1,4,1,141,6,Skin Bloom
CLI_0117BDE7,291,1,455.92,3,4,5,345,12,Skin Glow
CLI_011A0ECA,293,1,119.88,3,4,1,341,8,Skin Glow
CLI_011C4013,83,1,154.28,4,4,2,442,10,Skin Glow
CLI_011C54AD,416,1,197.49,2,4,3,243,9,Skin Bloom
CLI_011CA9AE,255,1,129.82,3,4,2,342,9,Skin Glow
CLI_011D07EC,107,4,430.74,4,5,5,455,14,Skin Glow
CLI_011DB7D3,337,1,131.75,2,4,2,242,8,Skin Bloom
CLI_011E7CB7,42,7,1148.4,5,5,5,555,15,Skin Glow
CLI_011F05B4,308,1,217.1,3,4,3,343,10,Skin Glow
CLI_011FA6D9,45,1,110.47,5,4,1,541,10,Skin Glow
CLI_0122086B,489,1,301.8,1,4,4,144,9,Skin Bloom
CLI_0122BD8D,421,1,267.72,2,4,4,244,10,Skin Bloom
CLI_01237EE4,448,1,154.48,1,4,2,142,7,Skin Bloom
CLI_01282001,502,1,366.29,1,4,4,144,9,Skin Bloom
CLI_012A18F1,35,1,126.03,5,4,1,541,10,Skin Glow
CLI_012AAD82,404,1,69.93,2,4,1,241,7,Skin Bloom
CLI_012BA3C6,532,1,394.7,1,4,4,144,9,Skin Bloom
CLI_012C2BA6,452,1,129.77,1,4,2,142,7,Skin Bloom
CLI_012C734D,350,1,148.6,2,4,2,242,8,Skin Bloom
CLI_012C92DC,72,3,425.24,4,5,5,455,14,Skin Glow
CLI_012D30C7,47,2,648.78,5,5,5,555,15,Skin Glow
CLI_012F9F5D,544,1,179.25,1,4,3,143,8,Skin Bloom
CLI_013041ED,32,1,212.11,5,4,3,543,12,Skin Glow
CLI_013054FD,57,1,133.32,4,4,2,442,10,Skin Glow
CLI_01307F3D,473,1,194.12,1,4,3,143,8,Skin Bloom
CLI_0133F047,321,1,267.74,2,4,4,244,10,Skin Bloom
CLI_01347488,41,1,437.11,5,4,5,545,14,Skin Glow
CLI_01355A51,138,1,150.03,4,4,2,442,10,Skin Glow
CLI_0135BD63,42,1,234.44,5,4,3,543,12,Skin Glow
CLI_0136BD05,279,1,171.47,3,4,3,343,10,Skin Glow
CLI_013E3CCE,42,4,1361.49,5,5,5,555,15,Skin Glow
CLI_013FA472,215,1,130.29,3,4,2,342,9,Skin Glow
CLI_01407C90,24,4,601.27,5,5,5,555,15,Skin Glow
CLI_0149854D,405,2,240.14,2,5,3,253,10,Skin Bloom
CLI_014C318D,379,1,213.64,2,4,3,243,9,Skin Bloom
CLI_014C323A,253,1,129.7,3,4,2,342,9,Skin Glow
CLI_014EFE39,79,1,121.97,4,4,1,441,9,Skin Glow
CLI_014FF91C,371,1,224.73,2,4,3,243,9,Skin Bloom
CLI_015013A8,404,1,218.52,2,4,3,243,9,Skin Bloom
CLI_01521F48,374,1,173.61,2,4,3,243,9,Skin Bloom
CLI_015293E5,410,2,350.66,2,5,4,254,11,Skin Bloom
CLI_01547C4C,427,1,191.36,1,4,3,143,8,Skin Bloom
CLI_01562DDA,406,1,129.46,2,4,2,242,8,Skin Bloom
CLI_0157C2F4,337,1,134.66,2,4,2,242,8,Skin Bloom
CLI_0158AD62,469,1,119.18,1,4,1,141,6,Skin Bloom
CLI_015933FA,200,1,174.93,3,4,3,343,10,Skin Glow
CLI_01596529,50,7,3073.8,5,5,5,555,15,Skin Glow
CLI_015C31A3,370,1,212.94,2,4,3,243,9,Skin Bloom
CLI_015C9E7C,174,1,322.21,3,4,4,344,11,Skin Glow
CLI_015FD2AE,320,2,444.78000000000003,2,5,5,255,12,Skin Bloom
CLI_01603B54,502,1,152.86,1,4,2,142,7,Skin Bloom
CLI_0160931C,53,1,85.2,4,4,1,441,9,Skin Glow
CLI_0164D1D0,519,1,151.94,1,4,2,142,7,Skin Bloom
CLI_016736B6,14,1,141.29,5,4,2,542,11,Skin Glow
CLI_01685569,43,1,76.97,5,4,1,541,10,Skin Glow
CLI_01692C3A,54,3,556.1600000000001,4,5,5,455,14,Skin Glow
CLI_016A09BD,465,1,312.09,1,4,4,144,9,Skin Bloom
CLI_016B01D8,419,1,120.96,2,4,1,241,7,Skin Bloom
CLI_016D4529,139,2,614.01,4,5,5,455,14,Skin Glow
CLI_016D7543,197,1,99.92,3,4,1,341,8,Skin Glow
CLI_01703C82,130,2,346.38,4,5,4,454,13,Skin Glow
CLI_017118A9,36,2,402.09000000000003,5,5,4,554,14,Skin Glow
CLI_0171BD31,31,1,195.08,5,4,3,543,12,Skin Glow
CLI_0171CD8D,421,1,179.9,2,4,3,243,9,Skin Bloom
CLI_01738404,208,1,276.17,3,4,4,344,11,Skin Glow
CLI_0174E3BC,48,1,235.9,5,4,3,543,12,Skin Glow
CLI_017967E4,32,1,75.02,5,4,1,541,10,Skin Glow
CLI_017D12CA,405,2,691.9300000000001,2,5,5,255,12,Skin Bloom
CLI_017D3674,291,1,128.62,3,4,2,342,9,Skin Glow
CLI_017E00B3,16,1,137.88,5,4,2,542,11,Skin Glow
CLI_017F0E43,528,1,188.1,1,4,3,143,8,Skin Bloom
CLI_0181236F,130,2,331.2,4,5,4,454,13,Skin Glow
CLI_018189A9,130,1,77.91,4,4,1,441,9,Skin Glow
CLI_01818BAD,207,1,252.78,3,4,4,344,11,Skin Glow
CLI_0181F763,162,1,183.36,4,4,3,443,11,Skin Glow
CLI_0184A05B,502,1,271.49,1,4,4,144,9,Skin Bloom
CLI_0184B947,412,1,94.07,2,4,1,241,7,Skin Bloom
CLI_01860DC3,463,2,554.69,1,5,5,155,11,Skin Bloom
CLI_0188C2B9,55,2,265.34000000000003,4,5,4,454,13,Skin Glow
CLI_0188EFFA,502,1,162.23,1,4,3,143,8,Skin Bloom
CLI_01891544,316,2,318.61,2,5,4,254,11,Skin Bloom
CLI_018B21CF,547,1,64.63,1,4,1,141,6,Skin Bloom
CLI_018B620C,193,4,757.72,3,5,5,355,13,Skin Glow
CLI_018BAEB2,518,1,112.6,1,4,1,141,6,Skin Bloom
CLI_018C08A0,46,1,265.9,5,4,4,544,13,Skin Glow
CLI_018C9498,423,1,682.35,2,4,5,245,11,Skin Bloom
CLI_018EA875,100,3,476.11,4,5,5,455,14,Skin Glow
CLI_018F14F4,80,2,250.01,4,5,3,453,12,Skin Glow
CLI_018F1E3C,445,1,158.6,1,4,2,142,7,Skin Bloom
CLI_01900469,364,1,149.9,2,4,2,242,8,Skin Bloom
CLI_0192CCAE,465,1,113.95,1,4,1,141,6,Skin Bloom
CLI_0192F71C,206,1,129.96,3,4,2,342,9,Skin Glow
CLI_01966DD7,128,2,211.32,4,5,3,453,12,Skin Glow
CLI_0196882C,169,1,170.76,3,4,3,343,10,Skin Glow
CLI_019724A1,201,1,237.98,3,4,3,343,10,Skin Glow
CLI_0197359F,281,2,424.54,3,5,5,355,13,Skin Glow
CLI_01990C35,11,1,416.09,5,4,5,545,14,Skin Glow
CLI_019B95B9,498,1,69.93,1,4,1,141,6,Skin Bloom
CLI_019CA9AF,281,2,148.04000000000002,3,5,2,352,10,Skin Glow
CLI_019CF75F,312,1,150.01,2,4,2,242,8,Skin Bloom
CLI_019DA7A3,75,1,76.35,4,4,1,441,9,Skin Glow
CLI_019E181B,79,1,384.86,4,4,4,444,12,Skin Glow
CLI_01A00D8C,406,1,114.08,2,4,1,241,7,Skin Bloom
CLI_01A079EC,369,2,541.5799999999999,2,5,5,255,12,Skin Bloom
CLI_01A2C3C4,43,2,352.03999999999996,5,5,4,554,14,Skin Glow
CLI_01A30CA1,33,2,183.24,5,5,3,553,13,Skin Glow
CLI_01A33354,400,2,583.39,2,5,5,255,12,Skin Bloom
CLI_01A4C394,329,2,538.0,2,5,5,255,12,Skin Bloom
CLI_01A64045,403,1,135.82,2,4,2,242,8,Skin Bloom
CLI_01A87AD4,250,1,88.93,3,4,1,341,8,Skin Glow
CLI_01ACF93B,195,1,154.34,3,4,2,342,9,Skin Glow
CLI_01AD9D98,442,1,108.91,1,4,1,141,6,Skin Bloom
CLI_01AEC183,82,1,130.84,4,4,2,442,10,Skin Glow
CLI_01AF69F8,252,1,252.62,3,4,4,344,11,Skin Glow
CLI_01AF7714,221,3,821.49,3,5,5,355,13,Skin Glow
CLI_01B23B06,306,1,593.76,3,4,5,345,12,Skin Glow
CLI_01B3F0D9,128,1,154.9,4,4,2,442,10,Skin Glow
CLI_01B43630,378,1,81.59,2,4,1,241,7,Skin Bloom
CLI_01B49050,423,1,143.61,2,4,2,242,8,Skin Bloom
CLI_01B671E8,56,1,136.92,4,4,2,442,10,Skin Glow
CLI_01B8298C,31,3,2109.0299999999997,5,5,5,555,15,Skin Glow
CLI_01BC52AD,420,1,146.86,2,4,2,242,8,Skin Bloom
CLI_01BC5CF1,35,1,77.32,5,4,1,541,10,Skin Glow
CLI_01BC74FF,447,1,73.64,1,4,1,141,6,Skin Bloom
CLI_01BE8CC7,269,1,128.62,3,4,2,342,9,Skin Glow
CLI_01C07CB7,532,1,238.36,1,4,3,143,8,Skin Bloom
CLI_01C32FEF,30,1,255.76,5,4,4,544,13,Skin Glow
CLI_01C8D326,37,1,305.42,5,4,4,544,13,Skin Glow
CLI_01C9B1F7,127,1,287.8,4,4,4,444,12,Skin Glow
CLI_01CCC6C7,216,2,251.93,3,5,4,354,12,Skin Glow
CLI_01CCE876,47,1,94.0,5,4,1,541,10,Skin Glow
CLI_01CF7D67,220,1,162.09,3,4,2,342,9,Skin Glow
CLI_01CFC8F0,188,2,246.96,3,5,3,353,11,Skin Glow
CLI_01D047C5,459,1,139.0,1,4,2,142,7,Skin Bloom
CLI_01D5C69C,40,1,140.43,5,4,2,542,11,Skin Glow
CLI_01D91263,231,3,657.4000000000001,3,5,5,355,13,Skin Glow
CLI_01D94655,507,1,267.71,1,4,4,144,9,Skin Bloom
CLI_01DA9F39,323,1,127.88,2,4,2,242,8,Skin Bloom
CLI_01DBDC4D,304,1,98.61,3,4,1,341,8,Skin Glow
CLI_01DCD246,512,1,138.49,1,4,2,142,7,Skin Bloom
CLI_01DD0643,424,1,270.12,2,4,4,244,10,Skin Bloom
CLI_01DDE395,498,1,218.86,1,4,3,143,8,Skin Bloom
CLI_01DFEF1E,316,1,188.95,2,4,3,243,9,Skin Bloom
CLI_01E405D0,221,1,179.9,3,4,3,343,10,Skin Glow
CLI_01E4AB0F,194,3,508.69,3,5,5,355,13,Skin Glow
CLI_01E70CF7,54,1,144.42,4,4,2,442,10,Skin Glow
CLI_01E72521,118,1,115.31,4,4,1,441,9,Skin Glow
CLI_01E75073,42,1,138.46,5,4,2,542,11,Skin Glow
CLI_01EB0769,436,1,151.89,1,4,2,142,7,Skin Bloom
CLI_01EC2219,129,1,79.85,4,4,1,441,9,Skin Glow
CLI_01ECEAFF,188,1,82.6,3,4,1,341,8,Skin Glow
CLI_01ED0010,401,2,540.48,2,5,5,255,12,Skin Bloom
CLI_01EE578E,32,1,89.4,5,4,1,541,10,Skin Glow
CLI_01EFF4F6,397,3,439.69,2,5,5,255,12,Skin Bloom
CLI_01F09ADF,291,2,1413.8,3,5,5,355,13,Skin Glow
CLI_01F0FA49,31,1,195.08,5,4,3,543,12,Skin Glow
CLI_01F1D99B,116,7,2469.29,4,5,5,455,14,Skin Glow
CLI_01F24271,329,1,118.61,2,4,1,241,7,Skin Bloom
CLI_01F2D133,474,2,259.8,1,5,4,154,10,Skin Bloom
CLI_01F2E987,129,2,159.53,4,5,2,452,11,Skin Glow
CLI_01F558D4,525,1,87.69,1,4,1,141,6,Skin Bloom
CLI_01FA5650,372,1,333.14,2,4,4,244,10,Skin Bloom
CLI_01FC3094,182,1,236.7,3,4,3,343,10,Skin Glow
CLI_01FC48AB,218,1,199.8,3,4,3,343,10,Skin Glow
CLI_01FE2737,45,2,341.62,5,5,4,554,14,Skin Glow
CLI_01FEBAB8,148,3,644.89,4,5,5,455,14,Skin Glow
CLI_02001524,121,1,141.44,4,4,2,442,10,Skin Glow
CLI_020065A8,122,1,350.01,4,4,4,444,12,Skin Glow
CLI_02006C49,133,1,154.28,4,4,2,442,10,Skin Glow
CLI_02013B19,521,1,223.8,1,4,3,143,8,Skin Bloom
CLI_02016B35,314,2,925.8599999999999,2,5,5,255,12,Skin Bloom
CLI_0203283A,234,1,388.05,3,4,4,344,11,Skin Glow
CLI_0205A258,164,2,1037.69,4,5,5,455,14,Skin Glow
CLI_0205CE98,12,3,558.16,5,5,5,555,15,Skin Glow
CLI_0206455C,182,1,201.6,3,4,3,343,10,Skin Glow
CLI_020691EE,33,2,402.14,5,5,4,554,14,Skin Glow
CLI_0208E20E,515,1,84.92,1,4,1,141,6,Skin Bloom
CLI_020A02B9,332,1,88.93,2,4,1,241,7,Skin Bloom
CLI_020D2C69,291,1,126.23,3,4,1,341,8,Skin Glow
CLI_020DDDA9,279,1,543.9,3,4,5,345,12,Skin Glow
CLI_020E1CF3,39,1,227.76,5,4,3,543,12,Skin Glow
CLI_020E916D,418,2,527.6,2,5,5,255,12,Skin Bloom
CLI_0211D5CE,498,1,69.93,1,4,1,141,6,Skin Bloom
CLI_0211F734,32,1,128.58,5,4,2,542,11,Skin Glow
CLI_0212D869,500,1,108.6,1,4,1,141,6,Skin Bloom
CLI_0212E92C,161,1,119.92,4,4,1,441,9,Skin Glow
CLI_0213F91D,193,2,276.27,3,5,4,354,12,Skin Glow
CLI_02143BEE,34,3,553.49,5,5,5,555,15,Skin Glow
CLI_02147CBE,71,2,531.73,4,5,5,455,14,Skin Glow
CLI_0216E127,353,1,53.01,2,4,1,241,7,Skin Bloom
CLI_021A0440,482,1,119.18,1,4,1,141,6,Skin Bloom
CLI_021BF4BA,180,1,671.79,3,4,5,345,12,Skin Glow
CLI_021C384D,48,2,535.82,5,5,5,555,15,Skin Glow
CLI_021CBE04,363,1,52.7,2,4,1,241,7,Skin Bloom
CLI_021DA15B,405,1,466.2,2,4,5,245,11,Skin Bloom
CLI_022342F9,32,1,281.36,5,4,4,544,13,Skin Glow
CLI_0223F39A,32,2,144.12,5,5,2,552,12,Skin Glow
CLI_02246F98,323,2,288.5,2,5,4,254,11,Skin Bloom
CLI_02253EF3,107,3,1055.54,4,5,5,455,14,Skin Glow
CLI_022665EA,416,1,115.11,2,4,1,241,7,Skin Bloom
